Model,MAE,RMSE,MAPE
Baseline,22811.571428571428,30533.652545601388,23.191811663938736
Linear Regression,34041.597298314715,44839.67158262553,18.366935453553246
Random Forest,53737.6945904762,62447.57148125811,29.696214770937623
Gradient Boosted Trees,53813.571194739416,62507.84171170199,29.864757914219943
